book_id,customer_id,rating
1882931173,AVCGYZL8FQQTD,4.0
0826414346,A30TK6U7DNS82R,5.0
0826414346,A3UH4UZ4RSVO82,5.0
0826414346,A2MVUWT453QH61,4.0
0826414346,A22X4XUPKF66MR,4.0
0826414346,A2F6NONFUDB6UK,4.0
0826414346,A14OJS0VWMOSWO,5.0
0826414346,A2RSSXTDZDUSH4,5.0
0826414346,A25MD5I2GUIW6W,5.0
0826414346,A3VA4XFS5WNJO3,4.0
0829814000,AZ0IOBU20TBOP,5.0
0829814000,A373VVEU6Z9M0N,5.0
0829814000,AGKGOH65VTRR4,5.0
0829814000,A3OQWLU31BU1Y,5.0
0595344550,A3Q12RK71N74LB,1.0
0595344550,A1E9M6APK30ZAU,4.0
0595344550,AUR0VA5H0C66C,1.0
0595344550,A1YLDZ3VHR6QPZ,5.0
0595344550,ACO23CG8K8T77,5.0
0595344550,A1VK81CRRC7MLM,5.0
0595344550,A2GKUH6OBW7POH,5.0
0595344550,A2BAF61XBWSLH,5.0
0595344550,A6OQ83FD8E2OC,5.0
0595344550,AVRN9E6X9I6KF,5.0
0595344550,A2YWUISTJ728T5,5.0
0595344550,ASEIU33YVKKWW,5.0
0595344550,AJV5HX8BBZKEP,4.0
0595344550,A1P2KGE2Z8RTA,1.0
0595344550,AE5JROER4ERSO,5.0
0595344550,A38P0UQN2C364Y,5.0
0595344550,A16FTKP8BXKGHG,5.0
0595344550,A1N38F1DJ9H2KM,5.0
0595344550,A3V4NY81KXZAUL,4.0
0595344550,A29I6N5F8P386Y,5.0
0595344550,A2ABV8FXF88O9P,4.0
0595344550,A1EONVY639PQDY,5.0
0595344550,A2XXVRH6VJ8S7Q,5.0
0595344550,A3OS2QHEH495TD,1.0
0595344550,A3S5YQQWBO0LGI,1.0
0595344550,A9L6GHJC42RRC,1.0
0595344550,A3T591DTKPYCVW,1.0
0595344550,A1XNI3654I4ME2,1.0
0595344550,A3VSJF0K4H28XK,4.0
0595344550,A1KAKU5SCNNEZM,5.0
0595344550,A3U1XS6XK6YUU4,5.0
0595344550,A3OZDTEEAF8GS9,1.0
0253338352,AN9WUW5BG7M39,5.0
0802841899,ARI272XF8TOL4,5.0
0802841899,A36TPZSH8LBT1,5.0
0802841899,ANX3DDV12ZRRU,4.0
0802841899,A2H2LORTA5EZY2,4.0
B0007FIF28,A2GERYVE64DIPL,3.0
B000JINSBG,A15A5KPP3AL76U,5.0
B000JINSBG,A2HF2IYAYUH8P8,4.0
B000JINSBG,A3V0MK4KOD61KO,5.0
0895554224,A1IVIK8YJRIQWU,4.0
0963923080,A3NIQK6ZLYEP1L,4.0
0854968350,A2OP3N8OXCQEZB,5.0
0854968350,ATDE9JYCPI0L1,2.0
0918973031,A252PRC1XBMTQJ,5.0
0918973031,A38FACH4R3BB6V,5.0
0918973031,A2JCSLVBZ1BZ46,2.0
0918973031,A1PYZR7NRX62CN,5.0
0918973031,A32ZQ5DEXBL60Z,5.0
0918973031,A2KSXSRTMD3ZJ4,5.0
0918973031,A9MBRG3MYS472,5.0
0918973031,A1X1CW1GXKC50V,5.0
0918973031,A1H4HMVBMQFUGR,5.0
0918973031,A309DQ3THGNXD,5.0
1858683092,A1AYN4J7T43M11,3.0
0792391810,A1CHPTJILEAL74,5.0
0792391810,A30DX2BO4Y4NLU,3.0
0792391810,A29Z0B2L367ZO,5.0
B000879GGE,A2HDZHLMT3L5IO,5.0
0908968000,A3Q7EWPN8MK8MS,5.0
0974289108,A1KZ0RDJZQSY4O,3.0
0974289108,A2Y6KQPZUZP1MM,2.0
0974289108,A79QZ7YQFIXG6,5.0
0974289108,A142FRLMOAOLC7,4.0
0974289108,A3AJA5ADM3Q8LM,5.0
0974289108,A22WHL8P1DONEK,1.0
0809080699,A18YY5TBNSDW3O,5.0
0809080699,A29LG535LJRITI,5.0
0553763121,A3TQFPF0QGVSJV,5.0
B000NKGYMK,AC58Z72OB2DDX,5.0
B000NKGYMK,A3CNQIKVTG9QYO,5.0
B000NKGYMK,A2UMP9TJTJ6A6B,1.0
B000NKGYMK,AC2TK7NHKB5C0,5.0
B000NKGYMK,A22T74YNRM8NTK,5.0
B000NKGYMK,A2E0GB5QZRX2JZ,5.0
B000NKGYMK,A7VSVB6Z0JHOV,2.0
B000NKGYMK,A1VXDNO64WERDD,5.0
B000NKGYMK,A2BDX4R1Y9Q23I,5.0
B000NKGYMK,AT050AMICV57J,5.0
B000NKGYMK,A33H49YV18XF5F,5.0
B000NKGYMK,A2ZVR2ZB5N0U49,5.0
B000NKGYMK,A258YNWJW2264M,3.0
B000NKGYMK,A34M31J29P6ZN0,5.0
B000NKGYMK,A33IOAYAZ5A6F0,3.0
B000NKGYMK,A33DRIYX3XWX4D,3.0
B000NKGYMK,A2WY5VMJQ0MM1A,5.0
B000NKGYMK,A3NOYB2S6CCFY,3.0
B000NKGYMK,A4P2SF4ILVVIL,5.0
B000NKGYMK,A3KIUJTLKA3Y2J,4.0
B000NKGYMK,A2FX00QQ0HR1AW,5.0
B000NKGYMK,A9XNAKYFS2OBN,5.0
B000NKGYMK,A2ALLTFYQ2QEA7,5.0
B000NKGYMK,A7IA8CTTSQ7A4,3.0
B000NKGYMK,A3TIBVQGLAB2AM,5.0
0195178548,A1MEHQSDHEI882,5.0
0195178548,A3A91IVPF679N3,5.0
0195178548,A3T0VJ2HGJUYNU,5.0
0789480662,A3GK6SRWIPR6J8,5.0
