book_id,customer_id,rating
1882931173,1,4.0
0826414346,2,5.0
0826414346,3,5.0
0826414346,4,4.0
0826414346,5,4.0
0826414346,6,4.0
0826414346,7,5.0
0826414346,8,5.0
0826414346,9,5.0
0826414346,10,4.0
0829814000,11,5.0
0829814000,12,5.0
0829814000,13,5.0
0829814000,14,5.0
0595344550,15,1.0
0595344550,16,4.0
0595344550,17,1.0
0595344550,18,5.0
0595344550,19,5.0
0595344550,20,5.0
0595344550,21,5.0
0595344550,22,5.0
0595344550,23,5.0
0595344550,24,5.0
0595344550,25,5.0
0595344550,26,5.0
0595344550,27,4.0
0595344550,28,1.0
0595344550,29,5.0
0595344550,30,5.0
0595344550,31,5.0
0595344550,32,5.0
0595344550,33,4.0
0595344550,34,5.0
0595344550,35,4.0
0595344550,36,5.0
0595344550,37,5.0
0595344550,38,1.0
0595344550,39,1.0
0595344550,40,1.0
0595344550,41,1.0
0595344550,42,1.0
0595344550,43,4.0
0595344550,44,5.0
0595344550,45,5.0
0595344550,46,1.0
0253338352,47,5.0
0802841899,48,5.0
0802841899,49,5.0
0802841899,50,4.0
0802841899,51,4.0
B0007FIF28,52,3.0
B000JINSBG,53,5.0
B000JINSBG,54,4.0
B000JINSBG,55,5.0
0895554224,56,4.0
0963923080,57,4.0
0854968350,58,5.0
0854968350,59,2.0
0918973031,60,5.0
0918973031,61,5.0
0918973031,62,2.0
0918973031,63,5.0
0918973031,64,5.0
0918973031,65,5.0
0918973031,66,5.0
0918973031,67,5.0
0918973031,68,5.0
0918973031,69,5.0
1858683092,70,3.0
0792391810,71,5.0
0792391810,72,3.0
0792391810,73,5.0
B000879GGE,74,5.0
0908968000,75,5.0
0974289108,76,3.0
0974289108,77,2.0
0974289108,78,5.0
0974289108,79,4.0
0974289108,80,5.0
0974289108,81,1.0
0809080699,82,5.0
0809080699,83,5.0
0553763121,84,5.0
B000NKGYMK,85,5.0
B000NKGYMK,86,5.0
B000NKGYMK,87,1.0
B000NKGYMK,88,5.0
B000NKGYMK,89,5.0
B000NKGYMK,90,5.0
B000NKGYMK,91,2.0
B000NKGYMK,92,5.0
B000NKGYMK,93,5.0
B000NKGYMK,94,5.0
B000NKGYMK,95,5.0
B000NKGYMK,96,5.0
B000NKGYMK,97,3.0
B000NKGYMK,98,5.0
B000NKGYMK,99,3.0
B000NKGYMK,100,3.0
B000NKGYMK,101,5.0
B000NKGYMK,102,3.0
B000NKGYMK,103,5.0
B000NKGYMK,104,4.0
B000NKGYMK,105,5.0
B000NKGYMK,106,5.0
B000NKGYMK,107,5.0
B000NKGYMK,108,3.0
B000NKGYMK,109,5.0
0195178548,110,5.0
0195178548,111,5.0
0195178548,112,5.0
0789480662,113,5.0
0789480662,114,5.0
0789480662,115,5.0
0789480662,116,4.0
0789480662,117,5.0
0789480662,118,1.0
